Lamia	2873	2800	2696	2952	3369	3349	3911	3939	4324	3720	3514	3019	2500	2154	2369	1988	1456	629	323	108	13	0	38.90023495668129	22.431618111511824	50
Aghia_Paraskevi	48	61	39	53	33	70	88	51	73	79	52	53	41	56	60	44	36	11	6	3	0	4	38.901184318985564	22.488571659872914	54
Anthili	75	69	97	100	108	94	87	100	145	113	135	118	82	88	96	87	55	29	12	3	0	8.5	38.84992654571895	22.478834723978885	32
Divri	4	1	16	9	11	10	4	12	18	14	14	13	5	9	16	22	8	6	0	0	0	17.2	38.97616823961847	22.45293483263469	830
Thermopyles	4	11	12	18	18	11	11	17	23	20	16	21	18	22	27	29	11	3	3	0	0	17.6	38.7992080157623	22.54527613425492	55
Kalamaki	5	11	11	4	5	9	12	16	7	5	9	11	11	9	18	15	11	4	0	0	0	19	38.92090700098821	22.495348410685814	780
Komma	19	18	16	27	18	29	44	41	28	31	44	47	26	22	32	22	20	8	0	0	1	5.7	38.856473946298856	22.433690769951074	14
Kostalexis	12	14	21	24	24	15	23	21	36	23	25	25	30	23	33	24	12	11	0	1	0	10.2	38.85792841140834	22.36408631156145	120
Lygaria	31	37	49	45	39	38	51	44	62	68	52	42	54	26	40	27	26	15	2	0	0	9.7	38.939366061682236	22.355356544923847	160
Megali_Vryssi	69	47	45	62	53	65	90	94	69	60	66	71	53	49	45	26	16	9	0	0	0	3.9	38.89420959550965	22.472725763839	30
Roditsa	194	180	174	205	185	253	275	258	262	240	263	223	239	154	164	101	77	36	24	1	1	3.6	38.88851299378916	22.46386233061484	30
Stavros	128	115	150	127	143	171	197	206	186	187	188	168	148	79	102	75	55	37	18	7	2	5.4	38.89067874988465	22.382031235036543	100
Frantzis	39	34	45	33	32	52	52	55	50	49	56	59	50	56	46	26	23	7	5	6	0	2.3	38.89047955156152	22.423317825024952	130
Aghios_Georgios_Fthiotidas	13	10	13	15	16	24	25	20	21	20	26	37	38	40	39	48	45	22	6	2	0	46.5	39.130071510050556	22.297490486634537	386
Vitoli	7	10	6	3	0	11	8	16	25	13	16	15	11	25	28	25	17	6	3	0	0	37.9	38.93632446200217	22.034826723399117	230
Dikastro	12	4	4	5	16	27	23	18	7	18	19	16	27	22	24	19	16	3	3	0	0	56.2	38.991738706716674	21.942404756982068	850
Mavrilo	0	0	8	8	7	12	11	6	2	7	12	17	14	11	10	14	3	4	0	0	0	63.5	38.946150539085075	21.87941647365906	920
Megali_Kapsi	6	10	6	9	7	10	14	16	4	11	20	14	21	18	23	11	11	3	1	0	0	55.2	38.92742363315237	21.91193775356835	860
Merkada	12	1	7	22	24	25	16	13	19	19	20	33	26	25	25	33	23	13	0	0	0	57.8	38.94500842012509	21.912016317580044	900
Messea_Kapsi	3	0	4	1	2	4	3	2	4	2	6	4	1	4	5	6	0	2	0	0	0	51.5	38.92012684892028	21.929203346155816	490
Neochori_Tymfristou	0	2	1	1	2	2	1	3	1	1	2	6	1	12	15	10	5	3	0	0	0	67	38.96135317823681	21.868472563323838	800
Paleokastro	1	1	0	0	0	4	1	4	3	0	3	0	3	11	11	14	10	6	1	1	0	56.3	38.9829213844073	21.89922307658636	760
Perivlepto	0	1	1	2	0	2	4	3	2	1	4	3	1	4	0	0	0	0	0	0	0	61.9	39.002615779402205	21.9129078704427	850
Pitsiota	4	1	5	0	3	0	2	4	9	5	4	4	9	8	17	16	7	3	0	0	0	66.4	39.01753196108844	21.90801100460974	800
Ptelea	4	0	0	10	22	20	12	11	20	18	22	21	15	21	22	17	8	12	0	0	1	40.6	38.933696650935275	22.00864926517298	260
Aghios_Konstantinos	116	130	143	133	152	153	183	168	210	180	198	186	193	219	196	156	98	41	24	4	3	49.2	38.76038697714958	22.85650029380205	10
Agnanti	23	18	12	10	12	14	15	14	21	19	14	15	15	16	19	32	19	7	2	0	0	55	38.7129278918169	22.879832641405756	430
Amfiklia	114	127	138	133	179	229	208	231	241	203	215	179	207	169	196	175	117	85	32	13	0	50.5	38.638592301807385	22.589380921815255	400
Drymea	10	8	8	3	5	16	13	20	15	14	16	13	17	17	23	29	17	11	0	0	0	44.6	38.70760633045687	22.55947198584644	520
Bralos	4	3	3	12	5	10	11	14	11	13	25	26	34	23	17	29	17	16	7	0	0	32.8	38.72646789121072	22.463732092739328	530
Xyliki	2	0	1	2	1	2	1	3	2	0	5	4	9	8	11	11	9	1	0	0	0	41.6	38.69774085623153	22.631962694818064	630
Paleochori_Dorieon	5	4	10	4	8	13	9	10	14	22	24	23	17	18	24	27	27	20	8	0	0	35.9	38.71881795807402	22.48400812422815	486
Tithronio	2	0	2	2	0	0	2	6	6	6	9	15	12	12	8	8	4	4	3	0	0	47.6	38.713120220153854	22.581536810282966	660
Atalanti	242	265	254	289	270	311	325	365	385	380	383	304	300	269	294	244	167	94	44	11	3	79.2	38.65410374912847	22.998111683549574	85
Exarchos	36	27	26	33	40	34	41	34	57	43	41	27	52	52	55	48	31	16	2	4	0	90.3	38.58871386999113	22.943585285584096	300
Kalapodio	13	15	13	17	15	22	18	31	30	23	24	29	26	32	33	45	28	19	11	0	0	92.1	38.634559628563125	22.882936033731827	369
Kyparissi	14	1	7	1	10	17	22	9	7	11	14	24	19	1	8	15	7	6	0	1	0	76.7	38.63738679488462	23.07416115882823	40
Kyrtoni	11	22	18	16	22	19	22	24	25	29	32	27	39	27	41	37	17	12	5	0	0	90.3	38.585444848651875	23.03995954619481	480
Megaplatanos	21	13	18	18	24	20	28	29	30	30	21	23	26	34	34	28	9	11	0	0	1	74.4	38.6822467498927	23.000560733179235	100
Tragana	47	21	37	33	47	44	55	57	49	61	49	61	68	53	73	53	41	16	1	1	1	80.5	38.619758588579025	23.122786235290995	30
Moschochori	42	35	34	37	30	47	53	59	54	50	53	66	48	35	77	46	31	16	6	3	0	8.8	38.82794570635183	22.448809109999786	10
Vardates	7	6	10	22	14	16	18	19	21	10	15	20	13	17	18	17	6	4	1	0	0	11.8	38.80959930526404	22.412714940594228	85
Gorgopotamos	15	18	18	20	21	32	34	36	29	21	31	29	29	31	27	24	23	11	4	0	0	9.2	38.83316890370898	22.39614562365689	60
Damasta	12	7	4	18	25	21	19	10	27	29	23	35	18	35	29	28	19	15	0	0	0	13.4	38.798914583152374	22.47004697722126	60
Delfino	2	0	2	4	2	1	0	2	4	2	5	2	3	10	10	0	3	0	0	0	0	18.1	38.79111630048099	22.41520186584269	560
Dyo_Vouna	4	0	2	0	1	5	11	9	0	1	4	6	0	12	9	6	5	3	0	1	0	16.9	38.804166079588356	22.381185345339897	420
Eleftherochori	3	8	3	2	7	8	9	10	18	4	13	7	10	3	4	4	5	1	0	0	0	29.8	38.764277016613306	22.456028733440842	740
Iraklia	15	22	31	29	19	21	27	26	32	36	25	28	26	26	43	29	16	10	8	0	0	11.1	38.80569060485741	22.447121888540188	35
Koumaritsi	1	2	1	0	2	2	1	1	1	6	0	1	7	1	6	10	1	0	0	0	0	23.6	38.77209584189279	22.375054913062954	840
Neo_Krikello	19	18	13	21	30	26	35	26	37	19	40	38	42	38	33	24	18	8	2	0	0	9.4	38.824903134284845	22.432066827942847	20
Iti	7	9	6	3	8	5	10	16	12	8	12	23	20	22	18	23	7	7	6	0	0	38.5	38.74164376196654	22.402667921282085	680
Livanates	107	120	131	130	142	151	152	175	198	156	199	188	146	140	131	122	103	45	17	5	1	68.8	38.7119175565582	23.04873585095092	5
Arkitsa	31	41	46	33	42	48	48	63	59	59	66	65	68	68	67	71	28	25	8	3	0	64.4	38.7440155922389	23.03212678456904	40
Goulemio	5	4	2	6	6	8	3	8	13	8	4	6	10	5	17	14	11	1	0	0	0	62.8	38.7088805991086	22.935245355676958	425
Domokos	82	61	67	82	69	86	107	96	136	95	94	81	74	88	74	107	64	48	18	2	0	38.3	39.12724725806528	22.311307350548738	561
Achladia	0	3	1	0	1	2	0	3	0	5	0	3	4	8	8	11	2	1	0	0	0	51.1	39.172766729215596	22.41096923370887	535
Vouzio	3	3	8	6	4	9	5	7	10	10	3	5	11	11	9	15	9	0	0	0	0	43.2	39.138425009515906	22.378506016544364	440
Geraklio	0	2	1	1	0	0	0	3	7	2	1	1	1	1	2	0	0	2	0	0	0	43.1	39.14658380090149	22.369134941381173	401
Karyes	7	6	1	3	4	8	5	14	10	7	12	8	8	9	9	10	2	0	0	0	0	35	39.08179416830633	22.424686703831387	736
Lefka	5	0	9	7	5	10	6	11	7	9	6	11	11	16	15	8	11	0	0	0	0	41.2	39.10506877170948	22.351129286633988	552
Makrolivado	10	9	11	10	8	13	7	12	20	22	9	8	11	15	16	16	4	0	0	0	1	29.8	39.037402638260936	22.420190909389696	614
Mantassia	15	10	17	9	10	12	14	16	25	15	16	18	25	29	38	39	12	14	1	2	1	41.1	39.12239304213653	22.443985753312294	437
Melitea	1	7	5	2	10	13	12	6	18	10	6	1	18	25	23	37	10	9	3	0	0	33.4	39.04533025486388	22.451902886892764	560
Nea_Makrissi	4	3	9	14	4	9	2	11	17	9	9	6	1	6	15	18	15	0	0	0	0	34.3	39.07926244840063	22.350297314656153	501
Neochori	0	7	3	11	13	14	4	13	14	11	14	15	15	22	21	10	4	0	0	0	0	41.9	38.96123221298858	21.868526207504626	760
Palamas	10	12	12	17	16	11	14	25	26	20	20	14	11	22	22	30	14	7	0	0	0	26	39.02959034861309	22.40007462658721	720
Petroto	12	18	20	4	14	13	13	22	19	17	16	23	32	29	52	42	25	15	0	0	0	54	39.18861244312237	22.38973120120064	673
Polydendri	3	7	6	5	11	5	5	8	13	12	11	2	4	1	10	11	11	2	1	0	0	37.3	39.09933819192341	22.410905188487042	417
Pournari	6	11	8	4	14	15	18	8	15	11	16	19	21	24	31	36	15	4	4	0	0	44.6	39.15645359171355	22.30686597719004	233
Fyliadona	19	17	9	1	10	27	29	37	32	34	24	26	24	29	44	42	15	8	5	0	0	36.6	39.058050517249626	22.480557266508878	516
Elatia	71	108	152	145	142	117	121	166	200	205	152	138	109	106	121	129	97	62	23	7	1	67.6	38.62799237089271	22.764918343531864	180
Zelio	13	17	24	27	17	22	33	32	51	39	37	42	52	63	69	52	46	27	9	0	1	68.1	38.659340265000964	22.87588099275452	510
Lefkochori	1	4	7	0	5	4	9	5	13	8	10	3	8	7	13	13	9	4	0	0	0	70.8	38.599970581480406	22.769846149042007	162
Panagitsa	9	5	0	13	15	14	19	11	18	18	28	18	18	18	22	14	15	10	1	0	0	66.3	38.63956409283036	22.73906727287324	230
Sfaka	1	2	3	2	0	6	8	8	1	4	2	6	12	15	10	12	6	6	0	0	0	75.7	38.60927364823861	22.851659894556285	262
Raches	57	54	48	50	56	69	72	69	85	79	88	70	71	73	80	76	44	24	8	1	1	33.4	38.890391100918556	22.781180500381126	58
Achinos	32	38	48	50	26	32	45	51	68	53	61	53	51	51	42	48	42	14	6	5	0	30.5	38.89234353011834	22.724758715725844	37
Achladi	6	4	18	24	24	30	18	20	30	32	34	16	31	23	30	27	5	11	0	1	0	35.5	38.88780129475287	22.809479476844235	10
Karavomylos	35	42	20	25	27	29	48	58	39	34	46	54	41	33	44	45	26	18	6	3	0	27.3	38.88874482197196	22.706841684580688	45
Paleokerassea	14	12	8	15	11	10	17	20	16	15	12	19	20	37	31	16	13	4	1	0	0	41.5	38.929510922115796	22.73083966847618	320
Spartia	10	7	6	9	9	30	21	22	21	24	23	40	37	38	37	42	29	18	2	0	0	40.7	38.93000771402995	22.781324449048626	450
Neo_Monastiri	45	51	44	71	59	47	57	89	101	81	74	71	80	82	99	65	30	11	1	1	0	53.8	39.24188452310822	22.274541589095016	120
Agrapidia	9	5	2	4	0	11	15	11	9	6	13	9	17	17	22	8	0	4	0	0	0	50.9	39.19220400905302	22.329980166545287	284
Vardali	5	11	9	17	12	9	11	20	14	15	23	29	16	16	23	25	19	7	3	1	0	51.2	39.201420165387034	22.315348143317983	205
Velessiotes	3	13	9	1	5	1	8	15	18	15	13	15	5	25	33	29	12	4	3	1	0	49.7	39.15048533357511	22.246637438747936	207
Gavrakia	10	9	5	14	21	6	11	14	23	17	8	0	13	16	21	19	7	1	1	0	0	57	39.16177922953411	22.174647586635285	258
Ekkara	24	24	26	44	41	37	34	36	51	40	42	48	42	42	46	62	33	19	0	0	0	54.6	39.15447319330904	22.19721723564194	170
Thavmako	13	8	6	12	14	19	20	13	21	21	16	15	11	17	16	19	10	3	3	0	0	46	39.1475598569758	22.283662685041776	252
Sofiada	7	2	9	15	13	10	18	28	21	19	20	16	28	27	28	33	21	0	0	0	0	52.7	39.205080390845865	22.25202354331833	144
Kamena_Vourla	132	135	136	125	140	143	189	207	213	186	194	193	161	170	158	161	90	32	26	5	0	39.9	38.77795490380205	22.78403674958903	5
Kenourgio	51	51	62	54	64	79	86	111	83	90	82	85	106	119	88	70	49	13	10	2	0	35.4	38.79132471034816	22.7239427044036	27
Reginio	25	29	17	25	22	22	22	38	35	34	41	31	34	46	33	51	40	14	18	0	0	40.8	38.72040900451237	22.710550687179975	180
Lianokladi	44	53	47	49	51	60	72	76	81	70	84	63	56	70	64	74	47	17	7	0	0	13.1	38.91693340823702	22.303712952526567	75
Amourio	11	14	11	10	13	17	22	15	23	15	17	17	20	18	17	20	13	4	1	0	0	11.1	38.90024087642434	22.332708541635622	40
